Datetime,Temperature,Humidity,WindSpeed,Consumption,Hour,Fridge,TV,AC,Oven,Fan,Light
2017-01-01 00:00:00,6.197,75.067,0.2952,1.33,0,1,0,0,0,0,1
2017-01-01 01:00:00,5.549,77.583,0.2952,1.156,1,1,0,0,0,0,1
2017-01-01 02:00:00,5.054,78.933,0.2952,1.042,2,1,0,0,0,0,1
2017-01-01 03:00:00,5.004,77.083,0.2988,0.978,3,1,0,0,0,0,1
2017-01-01 04:00:00,5.098,74.05,0.2952,0.954,4,1,0,0,0,0,1
2017-01-01 05:00:00,4.742,75.233,0.2916,0.965,5,1,0,0,0,0,1
2017-01-01 06:00:00,4.572,75.75,0.2952,0.995,6,1,0,0,0,0,1
2017-01-01 07:00:00,4.454,73.4,0.2988,0.831,7,1,0,0,0,0,0
2017-01-01 08:00:00,4.655,73.6,0.2988,0.851,8,1,0,0,0,0,0
2017-01-01 09:00:00,4.609,73.983,0.2952,0.995,9,1,0,0,0,0,0
2017-01-01 10:00:00,6.145,69.635,13.4568,1.154,10,1,0,0,1,0,0
2017-01-01 11:00:00,9.893,58.037,7.516800000000001,1.261,11,1,0,0,1,0,0
2017-01-01 12:00:00,14.847,57.078,0.2736,1.299,12,1,0,0,1,0,0
2017-01-01 13:00:00,15.68,57.072,0.2772,1.318,13,1,0,0,1,0,0
2017-01-01 14:00:00,15.767,55.637,0.2736,1.297,14,1,0,0,1,0,0
2017-01-01 15:00:00,15.558,58.192,0.27,1.271,15,1,0,0,1,0,0
2017-01-01 16:00:00,15.472,58.292,0.2736,1.252,16,1,0,0,1,0,0
2017-01-01 17:00:00,15.147,59.933,0.2808,1.556,17,1,0,0,1,0,0
2017-01-01 18:00:00,14.013,65.273,0.2772,1.794,18,1,0,0,1,0,1
2017-01-01 19:00:00,11.81,70.208,0.2808,1.824,19,1,0,0,1,0,1
2017-01-01 20:00:00,11.69,70.883,0.2772,1.845,20,1,0,0,1,0,1
2017-01-01 21:00:00,11.748,70.827,0.27,1.778,21,1,1,0,0,0,1
